Id,First,Last,Email,Percentage,IP Address v4,Content Size (Mb)
1,Joe,Schmoe,schmo0@comcast.net,17.68,235.192.123.175,8
2,Jane,Schmoe,jschmoe@microsoft.com,8.18,167.118.118.93,25
3,Joe,Pursglove,jpursglove2@sun.com,63.58,79.128.227.118,5
4,Jane,Roman,jroman3@shutterfly.com,82.9,143.78.205.198,66
5,Joe,Schmoe,jschmoe@google.com.au,62.29,8.19.255.44,82
6,Melanie,Borthram,mborthram5@chron.com,2.16,14.61.69.72,75
7,Anabel,Vlasin,avlasin6@bravesites.com,24.86,131.122.114.191,56
8,Odie,Rives,orives7@disqus.com,9.18,137.235.84.252,55
9,Donelle,Hansberry,dhansberry8@goodreads.com,11.91,118.62.130.55,19
10,Amalita,Wark,awark9@vistaprint.com,47.35,38.64.236.213,67
